customer_id,customer_name,segment,region,state,city,first_order_date,last_order_date,total_orders,total_revenue,total_profit,customer_ltv,customer_type
AA-10315,Alex Avila,Consumer,Central,Minnesota,Minneapolis,2014-03-31,2017-06-29,5,5563.56,-362.8825,5563.56,repeat
AA-10375,Allen Armold,Consumer,West,Arizona,Mesa,2014-04-21,2017-12-11,9,1056.39,277.3824,1056.39,repeat
AA-10480,Andrew Allen,Consumer,South,North Carolina,Concord,2014-05-04,2017-04-15,4,1790.5120000000002,435.8274,1790.5120000000002,repeat
AA-10645,Anna Andreadi,Consumer,East,Pennsylvania,Chester,2014-06-22,2017-11-05,6,5086.9349999999995,857.8033,5086.9349999999995,repeat
AB-10015,Aaron Bergman,Consumer,West,Washington,Seattle,2014-02-18,2016-11-10,3,886.156,129.3465,886.156,repeat
AB-10060,Adam Bellavance,Home Office,East,New York,New York City,2015-09-18,2017-11-06,8,7755.62,2054.5885,7755.62,repeat
AB-10105,Adrian Barton,Consumer,West,Arizona,Phoenix,2014-12-20,2017-11-19,10,14473.570999999998,5444.8055,14473.570999999998,repeat
AB-10150,Aimee Bixby,Consumer,East,New York,Long Beach,2014-03-05,2017-11-19,5,966.71,313.6597,966.71,repeat
AB-10165,Alan Barnes,Consumer,West,California,Los Angeles,2014-11-16,2017-12-05,8,1113.838,220.813,1113.838,repeat
AB-10255,Alejandro Ballentine,Home Office,East,Ohio,Lorain,2014-07-22,2017-07-17,9,914.5319999999999,264.5675,914.5319999999999,repeat
AB-10600,Ann Blume,Corporate,West,Arizona,Tucson,2014-11-18,2017-11-10,4,1515.862,-274.9604,1515.862,repeat
AC-10420,Alyssa Crouse,Corporate,West,California,San Francisco,2014-07-12,2017-05-12,3,925.8,-62.1342,925.8,repeat
AC-10450,Amy Cox,Consumer,Central,Minnesota,Minneapolis,2014-10-31,2017-12-19,7,5527.846,1366.0098,5527.846,repeat
AC-10615,Ann Chong,Corporate,East,New York,New York City,2015-09-15,2017-12-24,5,2537.6859999999997,298.8273,2537.6859999999997,repeat
AC-10660,Anna Chung,Consumer,Central,Texas,Huntsville,2014-10-15,2017-03-23,5,657.316,-28.700399999999995,657.316,repeat
AD-10180,Alan Dominguez,Home Office,Central,Texas,Houston,2014-11-19,2017-12-01,8,6106.88,1869.9294,6106.88,repeat
AF-10870,Art Ferguson,Consumer,Central,Texas,College Station,2015-12-06,2017-11-19,7,2052.908,317.9712,2052.908,repeat
AF-10885,Art Foster,Consumer,South,Kentucky,Louisville,2014-05-10,2016-11-10,4,861.565,-163.1175,861.565,repeat
AG-10270,Alejandro Grove,Consumer,West,Utah,West Jordan,2014-05-13,2017-03-27,5,2582.898,732.7399,2582.898,repeat
AG-10300,Aleksandra Gannaway,Corporate,West,California,Los Angeles,2014-04-26,2017-09-03,4,367.548,59.288399999999996,367.548,repeat
AG-10330,Alex Grayson,Consumer,West,California,Stockton,2016-08-03,2017-12-22,5,660.972,-5.137100000000006,660.972,repeat
AG-10390,Allen Goldenen,Consumer,East,Ohio,Cincinnati,2014-04-19,2017-09-07,5,200.945,69.2784,200.945,repeat
AG-10495,Andrew Gjertsen,Corporate,East,Pennsylvania,Philadelphia,2015-01-04,2017-10-13,8,2356.855,295.6668,2356.855,repeat
AG-10525,Andy Gerbode,Corporate,South,Florida,Saint Petersburg,2014-08-09,2015-09-07,4,1455.038,-152.7613,1455.038,repeat
AG-10675,Anna Gayman,Consumer,Central,Texas,Houston,2015-05-07,2017-09-24,7,3489.0396000000005,-246.42570000000003,3489.0396000000005,repeat
AG-10765,Anthony Garverick,Home Office,East,Pennsylvania,Philadelphia,2014-09-17,2017-10-14,4,170.584,-8.431000000000001,170.584,repeat
AG-10900,Arthur Gainer,Consumer,West,Arizona,Tucson,2014-07-23,2017-09-25,10,4510.797,343.6824,4510.797,repeat
AH-10030,Aaron Hawkins,Corporate,East,Pennsylvania,Philadelphia,2014-04-22,2017-12-18,7,1744.7,365.2152,1744.7,repeat
AH-10075,Adam Hart,Corporate,East,New York,New York City,2014-11-16,2017-11-26,10,3250.337,281.189,3250.337,repeat
AH-10120,Adrian Hane,Home Office,West,Arizona,Tucson,2014-07-18,2017-10-31,7,1735.5140000000001,-2.3145999999999773,1735.5140000000001,repeat
AH-10195,Alan Haines,Corporate,South,Florida,Tamarac,2015-03-05,2017-11-05,4,1587.452,-378.5509,1587.452,repeat
